Searching for all records on 2026-02-10:
Total rows today: 654

Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 262, Comp: 148, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 262, Comp: 148, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 262, Comp: 148, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 262, Comp: 148, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 262, Comp: 148, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 262, Comp: 148, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 262, Comp: 148, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 262, Comp: 148, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 262, Comp: 148, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 262, Comp: 148, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 262, Comp: 148, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 262, Comp: 148, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 462, Comp: 256, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 462, Comp: 256, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 462, Comp: 256, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 462, Comp: 256, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 462, Comp: 256, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 462, Comp: 256, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 462, Comp: 256, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 462, Comp: 256, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 462, Comp: 256, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 462, Comp: 256, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 462, Comp: 256, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 462, Comp: 256, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 462, Comp: 256, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 462, Comp: 256, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 462, Comp: 256, CP: C
Date: 2026-02-10 00:00:00, Part: 14201300053A, Target: 462, Comp: 256, CP: C
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 465, Comp: 286, CP: C
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 465, Comp: 286, CP: C
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 465, Comp: 286, CP: C
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 465, Comp: 286, CP: C
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 465, Comp: 286, CP: C
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 465, Comp: 286, CP: C
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 465, Comp: 286, CP: C
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 465, Comp: 286, CP: C
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 465, Comp: 286, CP: C
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 465, Comp: 286, CP: C
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 465, Comp: 286, CP: C
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 465, Comp: 286, CP: C
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 465, Comp: 286, CP: C
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 465, Comp: 286, CP: C
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 465, Comp: 286, CP: C
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 465, Comp: 286, CP: C
Date: 2026-02-10 00:00:00, Part: 14201400248A, Target: 465, Comp: 286, CP: C
Date: 2026-02-10 00:00:00, Part: 14204400030A, Target: 72, Comp: 36, CP: P2
Date: 2026-02-10 00:00:00, Part: 14204400030A, Target: 72, Comp: 36, CP: P2
Date: 2026-02-10 00:00:00, Part: 14204400030A, Target: 72, Comp: 36, CP: P2
Date: 2026-02-10 00:00:00, Part: 14204400030A, Target: 72, Comp: 36, CP: P2
Date: 2026-02-10 00:00:00, Part: 14204400030A, Target: 72, Comp: 36, CP: P2
Date: 2026-02-10 00:00:00, Part: 14204400217A, Target: 55, Comp: 24, CP: P2
Date: 2026-02-10 00:00:00, Part: 14204400217A, Target: 55, Comp: 24, CP: P2
Date: 2026-02-10 00:00:00, Part: 14204400217A, Target: 55, Comp: 24, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201400066A, Target: 323, Comp: 195, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201400066A, Target: 323, Comp: 195, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201400066A, Target: 323, Comp: 195, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201400066A, Target: 323, Comp: 195, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201400066A, Target: 323, Comp: 195, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201400066A, Target: 323, Comp: 195, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201400066A, Target: 323, Comp: 195, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201400066A, Target: 323, Comp: 195, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201400066A, Target: 323, Comp: 195, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201400066A, Target: 323, Comp: 195, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201400066A, Target: 323, Comp: 195, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201400066A, Target: 323, Comp: 195, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201400066A, Target: 323, Comp: 195, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201400066A, Target: 323, Comp: 195, CP: P2
Date: 2026-02-10 00:00:00, Part: 14203400010A, Target: 70, Comp: 41, CP: P2
Date: 2026-02-10 00:00:00, Part: 14203400010A, Target: 70, Comp: 41, CP: P2
Date: 2026-02-10 00:00:00, Part: 14203400010A, Target: 70, Comp: 41, CP: P2
Date: 2026-02-10 00:00:00, Part: 14203400010A, Target: 70, Comp: 41, CP: P2
Date: 2026-02-10 00:00:00, Part: 14203400010A, Target: 70, Comp: 41, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 96, Comp: 80, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 96, Comp: 80, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 96, Comp: 80, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 96, Comp: 80, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 96, Comp: 80, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 96, Comp: 80, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300020A, Target: 96, Comp: 80, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204200062A, Target: 132, Comp: 46, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204200062A, Target: 132, Comp: 46, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204200062A, Target: 132, Comp: 46, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204200062A, Target: 132, Comp: 46, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204200062A, Target: 132, Comp: 46, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204200062A, Target: 132, Comp: 46, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204200062A, Target: 132, Comp: 46, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204200062A, Target: 132, Comp: 46, CP: P1
